"Source Title";"Scopus Source ID";"SJR";"p_issn";"e_issn";"Top 10%";"10% - 35%";"35% - 60%";"60% - 80%";"Bottom 20%"
"Applied Stochastic Models in Business and Industry";25195;0,563;"15241904";"15264025";"NO Top 10%";"NO 10% - 35%";7;1;0
"Archives of Control Sciences";19600157919;0,298;"12302384";"23002611";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"Asia-Pacific Journal of Operational Research";23110;0,393;"02175959";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Asian Journal of Shipping and Logistics";21100235632;0,544;"20925212";0;"NO Top 10%";"NO 10% - 35%";8;1;0
"Boletin de Estadistica e Investigacion Operativa";21100313916;0,124;"18893805";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";"NO 60% - 80%";0
"Central European Journal of Operations Research";5000158106;0,618;"1435246X";"16139178";"NO Top 10%";"NO 10% - 35%";4;0;"NO Bottom 20%"
"Combinatorica";25785;1,38;"02099683";"14396912";8;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Communications in Nonlinear Science and Numerical Simulation";25807;1,299;"10075704";0;9;2;0;"NO 60% - 80%";"NO Bottom 20%"
"Computational Management Science";144815;0,902;"1619697X";"16196988";"NO Top 10%";4;1;0;"NO Bottom 20%"
"Computational Optimization and Applications";28459;1,199;"09266003";"15732894";14;2;0;"NO 60% - 80%";"NO Bottom 20%"
"Computational Social Networks";21100870845;0,203;0;"21974314";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";9;0
"Computers and Chemical Engineering";24600;0,997;"00981354";0;"NO Top 10%";3;0;"NO 60% - 80%";"NO Bottom 20%"
"Computers and Industrial Engineering";18164;1,469;"03608352";0;7;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Computers and Operations Research";24355;1,663;"03050548";"1873765X";7;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Constraints";24175;0,583;"13837133";"15729354";"NO Top 10%";"NO 10% - 35%";6;1;0
"Contributions to Discrete Mathematics";21100297618;0,19;"17150868";"17150868";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";14;0
"Control Engineering Practice";18174;1,148;"09670661";0;17;2;0;"NO 60% - 80%";"NO Bottom 20%"
"Croatian Operational Research Review";21100858348;0,156;"18480225";"18489931";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";"NO 60% - 80%";0
"Decision Analysis";19700186711;0,628;"15458490";"15458504";"NO Top 10%";"NO 10% - 35%";4;0;"NO Bottom 20%"
"Discrete Applied Mathematics";25890;0,738;"0166218X";0;"NO Top 10%";12;2;0;"NO Bottom 20%"
"Discrete Event Dynamic Systems: Theory and Applications";28967;0,718;"09246703";"15737594";"NO Top 10%";20;2;0;"NO Bottom 20%"
"Discrete Mathematics";25892;0,824;"0012365X";0;"NO Top 10%";6;1;0;"NO Bottom 20%"
"Discrete Mathematics and Applications";25894;0,157;"09249265";"15693929";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";"NO 60% - 80%";0
"Discrete Mathematics and Theoretical Computer Science";78470;0,404;"13658050";"13658050";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Discrete Mathematics, Algorithms and Applications";21100837973;0,191;"17938309";"17938317";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";13;0
"Discrete Optimization";28469;0,642;"15725286";0;"NO Top 10%";"NO 10% - 35%";3;0;"NO Bottom 20%"
"Discrete and Computational Geometry";25887;0,611;"01795376";"14320444";"NO Top 10%";"NO 10% - 35%";4;0;"NO Bottom 20%"
"Discussiones Mathematicae - Graph Theory";19700180503;0,6;"12343099";"20835892";"NO Top 10%";"NO 10% - 35%";5;1;0
"Dynamic Games and Applications";19700177406;0,471;"21530785";"21530793";"NO Top 10%";"NO 10% - 35%";26;2;0
"ESAIM - Control, Optimisation and Calculus of Variations";25955;1,021;"12928119";"12623377";"NO Top 10%";3;0;"NO 60% - 80%";"NO Bottom 20%"
"EURO Journal on Computational Optimization";21100827466;1,043;"21924406";"21924414";"NO Top 10%";3;0;"NO 60% - 80%";"NO Bottom 20%"
"EURO Journal on Decision Processes";21100901158;0,187;"21939438";"21939446";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";18;0
"EURO Journal on Transportation and Logistics";21100862198;2,1;"21924376";"21924384";5;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Egyptian Informatics Journal";19700182731;0,65;"11108665";0;"NO Top 10%";"NO 10% - 35%";3;0;"NO Bottom 20%"
"Electronic Journal of Combinatorics";26389;0,815;"10778926";"10971440";"NO Top 10%";6;1;0;"NO Bottom 20%"
"Electronic Journal of Graph Theory and Applications";21100818724;0,445;"23382287";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Electronic Notes in Discrete Mathematics";4700152427;0,233;"15710653";"15710653";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";7;0
"Energy Systems";19400158701;0,555;"18683967";"18683975";"NO Top 10%";"NO 10% - 35%";7;1;0
"Engineering Optimization";29114;0,636;"0305215X";"10290273";"NO Top 10%";"NO 10% - 35%";3;0;"NO Bottom 20%"
"European Journal of Combinatorics";26445;1,138;"01956698";"10959971";25;2;0;"NO 60% - 80%";"NO Bottom 20%"
"European Journal of Operational Research";22489;2,364;"03772217";0;4;1;0;"NO 60% - 80%";"NO Bottom 20%"
"European Journal of Transport and Infrastructure Research";11900154359;0,782;"15677141";"15677141";"NO Top 10%";8;2;0;"NO Bottom 20%"
"Flexible Services and Manufacturing Journal";17600155106;1,247;"19366582";"19366590";11;2;0;"NO 60% - 80%";"NO Bottom 20%"
"Foresight";16106;0,282;"14636689";"14659832";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";5;0
"Graphs and Combinatorics";28476;0,61;"09110119";"14355914";"NO Top 10%";"NO 10% - 35%";4;0;"NO Bottom 20%"
"IEEE Communications Letters";18896;1,261;"10897798";"15582558";10;2;0;"NO 60% - 80%";"NO Bottom 20%"
"IISE Transactions";21100794597;1,153;"24725854";"24725862";15;2;0;"NO 60% - 80%";"NO Bottom 20%"
"IMA Journal of Management Mathematics";23148;0,91;"1471678X";"14716798";"NO Top 10%";4;1;0;"NO Bottom 20%"
"INFOR";14363;0,514;"03155986";"19160615";"NO Top 10%";"NO 10% - 35%";10;1;0
"INFORMS Journal on Computing";25040;1,476;"10919856";"15265528";7;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Information Processing Letters";14388;0,481;"00200190";0;"NO Top 10%";"NO 10% - 35%";18;1;0
"Interfaces";19929;0,609;"00922102";"1526551X";"NO Top 10%";"NO 10% - 35%";5;0;"NO Bottom 20%"
"International Journal for Simulation and Multidisciplinary Design Optimization";21100828652;0,155;0;"17796288";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";"NO 60% - 80%";0
"International Journal of Advanced Manufacturing Technology";20428;0,999;"02683768";"14333015";"NO Top 10%";3;0;"NO 60% - 80%";"NO Bottom 20%"
"International Journal of Advanced Operations Management";21100394268;0;"1758938X";"17589398";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";"NO 60% - 80%";0
"International Journal of Applied Decision Sciences";17700156204;0,198;"17558077";"17558085";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";9;0
"International Journal of Applied Management Science";21100198214;0,26;"17558913";"17558921";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";6;0
"International Journal of Applied Mathematics and Computer Science";4500151509;0,343;"1641876X";"20838492";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"International Journal of Applied and Computational Mathematics";21100899436;0,272;"23495103";"21995796";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";6;0
"International Journal of Business Performance and Supply Chain Modelling";21100825851;0,275;"17589401";"1758941X";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";5;0
"International Journal of Emergency Services";21100385807;0,301;"20470894";"20470908";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"International Journal of Information Systems in the Service Sector";21100266730;0,216;"19355688";"19355696";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";8;0
"International Journal of Intelligent Transportation Systems Research";19600157217;0,403;"18688659";"18688659";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"International Journal of Logistics Research and Applications";11400153310;0,873;"13675567";"1469848X";"NO Top 10%";4;1;0;"NO Bottom 20%"
"International Journal of Logistics Systems and Management";4700151504;0,373;"17427967";"17427975";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"International Journal of Management Science and Engineering Management";21100790518;0,729;"17509653";"17509661";"NO Top 10%";15;2;0;"NO Bottom 20%"
"International Journal of Mathematics and Computer Science";21100854726;0,181;"18140424";"18140432";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";20;0
"International Journal of Mathematics in Operational Research";21100202502;0,325;"17575850";"17575869";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
